MLS_Number,Street_Number,Street_Name,Unit,City,Price,PSF,Area,Subdivision,Market_Area,Building_SF,Bedrooms,Baths,Stories,DOM
45017320,914,Main,1506,Houston,3300,1.12,9,Commerce Tower Condo 02 Amd,Downtown,2934,3,2.1,1,18
36077525,917,Main,304,Houston,1875,1.18,9,Kirby Lofts Condo,Downtown,1583,2,2,1,25
69357160,1120,Texas,4A,Houston,2650,1.29,9,Keystone Lofts Condo,Downtown,2057,2,2,1,51
10922209,914,Main,709,Houston,3200,1.29,9,Commerce Tower Condo 02 Amd,Downtown,2481,2,2.1,1,6
91740946,705,Main,807,Houston,2100,1.32,9,St Germain Condos,Downtown,1592,2,2,1,120
10811559,15,Chenevert,507,Houston,2300,1.32,9,Downtown,Downtown,1741,2,2,5,43
73640152,711,Main,302,Houston,1850,1.34,9,Capitol Lofts,Downtown,1378,1,1,1,47
28507603,914,Main,1902,Houston,3500,1.36,9,Commerce Tower Condo 02 Amd,Downtown,2567,3,2.1,,82
5123584,914,Main,1501,Houston,2600,1.36,9,Commerce Tower Condo 02 Amd,Downtown,1905,2,2,1,146
61584663,711,William,307,Houston,1850,1.36,9,Richey,Downtown,1360,1,1,4,45
12954519,201,Main,3J,Houston,2500,1.4,9,Franklin Lofts Condo,Downtown,1791,2,2,,34
71947853,15,Chenevert,102,Houston,1775,1.42,9,Downtown,Downtown,1254,2,2,5,29
21138887,1120,Texas,5A,Houston,3000,1.46,9,Keystone Lofts Condo,Downtown,2057,2,2,1,40
90296320,914,Main,1802,Houston,2750,1.47,9,Commerce Tower Condo 02 Amd,Downtown,1874,2,2.1,1,64
13262304,705,Main,712,Houston,1500,1.47,9,St Germain Condos,Downtown,1020,2,1,1,16
90474904,201,Main,7H,Houston,1800,1.49,9,Franklin Lofts Condo,Downtown,1212,1,1,1,39
17992817,201,Main,8K,Houston,3000,1.5,9,Franklin Lofts Condo,Downtown,1995,2,2,1,99
19953091,917,Main,602,Houston,2100,1.52,9,Kirby Lofts Condo,Downtown,1385,2,2,,28
48900538,914,Main,2001,Houston,2900,1.52,9,Commerce Tower Condo 02 Amd,Downtown,1905,2,2,1,230
16253027,1011,Wood,303A,Houston,1300,1.53,9,Nsbb,Downtown,850,1,1,3,16
42125794,711,William,107,Houston,1850,1.53,9,Richey,Downtown,1210,1,1,4,62
92872293,705,Main,202,Houston,1550,1.54,9,St Germain,Downtown,1005,1,1,1,6
59673237,711,William,403,Houston,1675,1.58,9,Richey,Downtown,1060,1,1,4,31
